sex,exper,school,wage
M,9,15,5.941629433
M,9,15,8.57422832
M,9,15,8.26800588
M,9,15,12.11996184
M,9,15,9.35257599
M,9,15,9.720605497
M,9,15,14.61835648
M,9,15,3.919647232
M,9,15,13.49188918
M,9,15,7.551382231
M,9,15,7.735167213
M,9,15,8.206761392
M,9,15,22.91183614
M,9,15,9.733841823
M,9,15,7.20197507
M,2,14,2.467403833
F,3,14,5.97133758
F,3,14,2.394521335
F,3,14,2.895193978
F,4,14,8.096728922
F,4,14,11.09104161
F,4,14,3.98089172
F,4,14,9.859872612
F,4,14,2.79816302
M,4,14,5.086293595
M,4,14,12.2488976
M,4,14,6.1244488
M,4,14,8.57422832
F,5,14,0.751111645
F,5,14,9.186673199
F,5,14,4.948149708
F,5,14,7.724118262
F,5,14,3.164932547
F,5,14,7.655561
F,5,14,8.917197452
F,5,14,4.462655686
M,5,14,3.07553199
M,5,14,14.38257654
M,5,14,1.38465799
M,5,14,6.077697282
M,5,14,13.60988622
M,5,14,8.42569838
M,5,14,2.66132037
M,5,14,7.760450985
M,5,14,8.015218228
M,5,14,3.598546187
M,5,14,6.414327041
F,6,14,5.017930739
F,6,14,3.033060358
F,6,14,5.614078066
F,6,14,0.614414156
F,6,14,6.73689368
F,6,14,16.97182677
F,6,14,5.836242158
F,6,14,2.324608304
F,6,14,9.737873591
F,6,14,3.630780722
F,6,14,12.13224143
F,6,14,7.96178344
F,6,14,12.55236128
F,6,14,8.648144081
M,6,14,9.033561979
M,6,14,11.66095051
M,6,14,3.595644134
M,6,14,2.44977952
M,6,14,10.61571125
M,6,14,8.106543138
M,6,14,11.33023028
M,6,14,5.184417123
M,6,14,4.454144582
M,6,14,11.33023028
M,6,14,4.865872232
M,6,14,7.38178597
M,6,14,2.779386219
F,7,14,1.223738277
F,7,14,7.04311612
F,7,14,9.327612398
F,7,14,6.195187114
F,7,14,6.99083424
F,7,14,6.498828198
F,7,14,7.146308556
F,7,14,5.108725208
F,7,14,2.256883495
F,7,14,7.27417487
F,7,14,1.248907206
F,7,14,0.962149056
F,7,14,4.930714654
F,7,14,2.997377295
F,7,14,8.71605766
F,7,14,7.134982852
F,7,14,5.389514944
F,7,14,6.1244488
F,7,14,9.186673199
F,7,14,8.757961783
F,7,14,2.547770701
F,7,14,2.763974965
F,7,14,12.86134248
F,7,14,13.99874011
F,7,14,11.63645272
F,7,14,10.31100102
F,7,14,2.884704145
F,7,14,7.839294464
F,7,14,8.315178527
F,7,14,6.522537972
M,7,14,2.933288636
M,7,14,3.98089172
M,7,14,14.29038053
M,7,14,4.851048554
M,7,14,4.604404881
M,7,14,4.121821651
M,7,14,10.10534052
M,7,14,6.255487515
M,7,14,4.934062977
M,7,14,5.185835957
M,7,14,6.747274101
M,7,14,6.840359172
M,7,14,7.254472382
M,7,14,12.00391965
M,7,14,10.81063995
M,7,14,10.26499074
M,7,14,9.211980839
M,7,14,8.703564505
M,7,14,10.10534052
M,7,14,8.765266172
M,7,14,5.453276328
M,7,14,13.8465799
M,7,14,7.502665126
M,7,14,7.774887115
M,7,14,4.376821276
M,7,14,4.753303546
M,7,14,4.465743916
F,8,14,2.418157461
F,8,14,5.631123847
F,8,14,9.033561979
F,8,14,2.14355708
F,8,14,8.26800588
F,8,14,5.184417123
F,8,14,3.77335708
F,8,14,5.97133758
F,8,14,3.36844684
F,8,14,11.45271926
F,8,14,14.69867712
F,8,14,3.309366168
F,8,14,2.522545248
F,8,14,3.605335897
F,8,14,5.71249036
F,8,14,9.317865676
F,8,14,5.068509351
F,8,14,7.655561
F,8,14,12.28389445
F,8,14,6.369426752
F,8,14,9.670857372
F,8,14,7.100959567
F,8,14,8.846426044
F,8,14,7.655561
F,8,14,8.082052072
F,8,14,4.5933366
F,8,14,7.113065408
F,8,14,7.412694926
F,8,14,10.46405824
F,8,14,7.19622734
F,8,14,3.184713376
F,8,14,9.275864201
F,8,14,6.162154289
F,8,14,2.919320595
F,8,14,5.529016277
F,8,14,7.251719262
F,8,14,7.251719262
F,8,14,8.279663373
F,8,14,5.790387956
F,8,14,3.67466928
M,8,14,0.734933856
M,8,14,5.410920784
M,8,14,10.63497752
M,8,14,2.048988385
M,8,14,4.485511797
M,8,14,2.441952748
M,8,14,10.56467418
M,8,14,8.520972243
M,8,14,6.43067124
M,8,14,5.419014907
M,8,14,7.446842222
M,8,14,10.0713158
M,8,14,11.55742757
M,8,14,13.08182264
M,8,14,7.34933856
M,8,14,3.386277514
M,8,14,5.307855626
M,8,14,8.880450759
M,8,14,3.999640032
M,8,14,9.803688564
M,8,14,9.231053263
M,8,14,10.17074132
M,8,14,6.128169984
M,8,14,13.80042463
M,8,14,5.462222792
M,8,14,20.41482933
M,8,14,7.041032974
M,8,14,8.935067587
M,8,14,7.655561
M,8,14,7.485437422
M,8,14,8.4211171
M,8,14,3.937145657
F,9,14,4.5933366
F,9,14,2.09405811
F,9,14,1.862405483
F,9,14,5.136634477
F,9,14,5.144536992
F,9,14,5.867435083
F,9,14,6.1244488
F,9,14,8.173158221
F,9,14,10.41940365
F,9,14,5.81822636
F,9,14,7.1700864
F,9,14,11.77778615
F,9,14,7.04311612
F,9,14,8.271982794
F,9,14,11.02400784
F,9,14,15.311122
F,9,14,7.262437597
F,9,14,7.655561
F,9,14,10.79563856
F,9,14,9.274165325
F,9,14,20.99811017
F,9,14,6.630290646
F,9,14,4.5933366
F,9,14,10.79563856
F,9,14,8.957006369
F,9,14,5.51200392
F,9,14,8.789457339
F,9,14,4.948729105
M,9,14,9.799118079
M,9,14,25.07673404
M,9,14,10.3948213
M,9,14,13.22196372
M,9,14,10.29171288
M,9,14,5.17606057
M,9,14,7.285292036
M,9,14,12.31014209
M,9,14,11.63645272
M,9,14,4.990291615
M,9,14,11.99622976
M,9,14,6.304210778
M,9,14,6.281485948
M,9,14,9.799118079
M,9,14,5.784201644
M,9,14,11.3526368
M,9,14,4.777070064
M,9,14,11.02400784
M,9,14,10.10534052
M,9,14,6.658946149
M,9,14,6.734195685
M,9,14,6.185693288
M,9,14,7.893734008
M,9,14,22.1239682
M,9,14,14.29756885
M,9,14,10.88790898
M,9,14,4.924814499
M,9,14,6.532745386
F,10,14,6.73689368
F,10,14,11.33023028
F,10,14,4.28711416
F,10,14,5.756981872
F,10,14,9.83442113
F,10,14,15.12738854
F,10,14,3.67466928
F,10,14,5.502817246
F,10,14,0.772988683
F,10,14,5.91587624
F,10,14,5.310621575
F,10,14,1.559604983
M,10,14,16.65645071
M,10,14,10.61571125
M,10,14,6.73689368
M,10,14,11.71596007
M,10,14,4.5933366
M,10,14,4.615526632
M,10,14,3.582802548
M,10,14,7.145190266
F,1,13,4.32211101
F,2,13,6.734195685
M,2,13,3.364133848
M,2,13,4.784246433
F,3,13,4.042913691
F,3,13,9.478313618
F,3,13,0.594162943
M,3,13,11.07217445
F,4,13,6.43067124
F,4,13,2.71865776
M,4,13,5.939518729
M,4,13,5.672918433
M,4,13,5.547909398
M,4,13,8.815815573
F,5,13,2.560573569
F,5,13,5.055100597
F,5,13,7.96178344
F,5,13,6.414865381
F,5,13,8.368589893
F,5,13,3.148385847
F,5,13,4.508371144
M,5,13,9.663019217
M,5,13,9.76406758
M,5,13,4.172113593
M,5,13,9.799118079
M,5,13,18.46229115
M,5,13,7.6203074
M,5,13,2.14355708
M,5,13,5.573248408
M,5,13,5.124826122
M,5,13,6.184544855
F,6,13,2.998515251
F,6,13,4.81721351
F,6,13,2.737575968
F,6,13,4.942537628
F,6,13,7.582650895
F,6,13,3.538570418
F,6,13,0.428711416
F,6,13,2.989065455
F,6,13,1.190547056
F,6,13,5.564096932
F,6,13,8.57422832
F,6,13,7.006369427
F,6,13,5.434664464
F,6,13,8.962318088
F,6,13,7.873905035
F,6,13,1.068695764
F,6,13,5.660035621
F,6,13,5.807890388
F,6,13,1.185377187
F,6,13,7.655561
F,6,13,4.808510324
F,6,13,6.27756002
F,6,13,5.573248408
F,6,13,6.73689368
F,6,13,9.799118079
F,6,13,5.276815535
F,6,13,4.89955904
F,6,13,8.210465818
F,6,13,4.693261817
F,6,13,11.63645272
M,6,13,3.36844684
M,6,13,1.486199575
M,6,13,11.09249389
M,6,13,10.43679477
M,6,13,7.011797916
M,6,13,2.316155182
M,6,13,4.89955904
M,6,13,10.97354422
M,6,13,7.464171975
M,6,13,4.342790967
M,6,13,14.69867712
M,6,13,7.994017381
M,6,13,15.92356688
M,6,13,7.989524845
M,6,13,4.87704958
M,6,13,7.839294464
M,6,13,18.70217587
M,6,13,4.804524489
F,7,13,5.483612435
F,7,13,4.724574788
F,7,13,2.75600196
F,7,13,6.118256233
F,7,13,6.1244488
F,7,13,8.729671182
F,7,13,5.906195715
F,7,13,3.694563081
F,7,13,3.755558226
F,7,13,7.04311612
F,7,13,5.072604407
F,7,13,3.292001323
F,7,13,9.072366198
F,7,13,7.34933856
F,7,13,5.184880887
F,7,13,3.63967243
F,7,13,2.123142251
F,7,13,6.08842263
F,7,13,7.306574329
F,7,13,4.44022538
F,7,13,7.696390658
F,7,13,6.43067124
F,7,13,5.20578148
F,7,13,9.186673199
F,7,13,4.32407204
F,7,13,7.435801366
F,7,13,7.351909157
F,7,13,3.780938254
F,7,13,3.74366307
F,7,13,6.1244488
F,7,13,6.122305243
F,7,13,5.260883453
F,7,13,10.94234852
F,7,13,8.009842495
F,7,13,3.667616172
F,7,13,7.655561
F,7,13,6.1244488
F,7,13,7.50244978
M,7,13,4.549590537
M,7,13,5.851987828
M,7,13,5.942933852
M,7,13,5.05267026
M,7,13,5.97133758
M,7,13,9.753184713
M,7,13,3.791325447
M,7,13,5.104965954
M,7,13,8.685581934
M,7,13,2.585693664
M,7,13,9.099181074
M,7,13,9.799118079
M,7,13,10.99148864
M,7,13,12.2432917
M,7,13,7.621536284
M,7,13,7.655561
M,7,13,5.334394905
M,7,13,8.233370307
M,7,13,9.910511251
M,7,13,10.11020119
M,7,13,12.95077528
M,7,13,6.275297292
M,7,13,2.182669603
M,7,13,3.328968686
M,7,13,10.05083854
F,8,13,7.710027441
F,8,13,4.157144941
F,8,13,5.249527543
F,8,13,4.626702241
F,8,13,2.389198514
F,8,13,7.655561
F,8,13,2.990341198
F,8,13,3.510707658
F,8,13,6.278434941
F,8,13,1.654396559
F,8,13,7.306574329
F,8,13,7.483284932
F,8,13,7.092902841
F,8,13,4.935876526
F,8,13,4.431749441
F,8,13,4.206225213
F,8,13,30.86217086
F,8,13,6.73689368
F,8,13,6.824385805
F,8,13,2.717332232
F,8,13,3.27645409
F,8,13,4.89955904
F,8,13,10.97893746
F,8,13,8.819206271
F,8,13,3.238691569
F,8,13,6.155600625
F,8,13,4.152168678
F,8,13,4.409603136
F,8,13,7.19622734
F,8,13,8.57422832
F,8,13,6.833101496
F,8,13,7.161585838
F,8,13,3.526597402
F,8,13,5.339120748
F,8,13,7.96178344
F,8,13,5.298098539
F,8,13,5.074543291
F,8,13,7.34933856
F,8,13,4.89955904
F,8,13,11.37397634
F,8,13,5.703964255
F,8,13,7.406310176
F,8,13,2.836586813
F,8,13,1.749842514
F,8,13,5.697161674
F,8,13,7.34933856
F,8,13,1.637975555
F,8,13,5.97133758
F,8,13,6.01556971
M,8,13,6.348265865
M,8,13,4.89955904
M,8,13,3.191967848
M,8,13,7.96178344
M,8,13,4.190412337
M,8,13,9.933416012
M,8,13,6.210191083
M,8,13,10.22723489
M,8,13,7.04311612
M,8,13,10.55539471
M,8,13,20.84539664
M,8,13,8.941959803
M,8,13,7.655561
M,8,13,9.799118079
M,8,13,6.285618505
M,8,13,2.276828151
M,8,13,6.44678821
M,8,13,4.29145774
M,8,13,6.117528519
M,8,13,11.02400784
M,8,13,8.396062536
M,8,13,6.477383137
M,8,13,12.74468631
M,8,13,4.274783055
M,8,13,5.486772108
M,8,13,13.7800098
M,8,13,6.1244488
M,8,13,4.89955904
M,8,13,10.7177854
M,8,13,8.796121428
F,9,13,6.315295646
F,9,13,5.81822636
F,9,13,6.9801937
F,9,13,10.04701244
F,9,13,4.241819428
F,9,13,7.34933856
F,9,13,3.67466928
F,9,13,6.984020561
F,9,13,12.2488976
F,9,13,5.661712668
F,9,13,7.64713567
F,9,13,5.81822636
F,9,13,6.859382656
F,9,13,5.925048141
F,9,13,4.28711416
F,9,13,16.0035848
F,9,13,3.552180304
F,9,13,6.186397247
F,9,13,3.821656051
F,9,13,4.382357708
F,9,13,6.73689368
F,9,13,7.96178344
F,9,13,4.409603136
F,9,13,7.181216436
F,9,13,3.36844684
F,9,13,5.426865842
F,9,13,5.66511514
F,9,13,5.20578148
F,9,13,5.278903687
F,9,13,5.639596603
F,9,13,2.414694219
F,9,13,4.89955904
M,9,13,2.44977952
M,9,13,6.27829028
M,9,13,6.634819533
M,9,13,7.145190266
M,9,13,3.571379119
M,9,13,9.02398123
M,9,13,13.60988622
M,9,13,5.887705401
M,9,13,5.129739666
M,9,13,6.634819533
M,9,13,5.98434703
M,9,13,4.29513109
M,9,13,9.064184223
M,9,13,11.18620785
M,9,13,7.655561
M,9,13,9.186673199
M,9,13,13.7800098
M,9,13,15.311122
M,9,13,10.38493492
M,9,13,7.017165065
M,9,13,3.44914806
M,9,13,8.57422832
M,9,13,4.89955904
M,9,13,9.216212342
M,9,13,11.63645272
M,9,13,8.800847268
M,9,13,6.690574319
M,9,13,8.632942044
M,9,13,4.680943545
M,9,13,9.799118079
M,9,13,3.311660356
M,9,13,9.799118079
M,9,13,3.730920075
M,9,13,10.41156296
M,9,13,13.16756492
M,9,13,5.112272475
M,9,13,7.655561
M,9,13,7.04311612
F,10,13,12.86134248
F,10,13,7.655561
F,10,13,6.105662147
F,10,13,8.735213831
F,10,13,4.974095942
F,10,13,3.184713376
F,10,13,5.3588927
F,10,13,4.704690214
F,10,13,4.489727504
F,10,13,8.932732639
F,10,13,3.98089172
F,10,13,9.624133828
F,10,13,6.634819533
F,10,13,10.89908753
F,10,13,3.899649032
F,10,13,3.0622244
F,10,13,9.186673199
M,10,13,9.799118079
M,10,13,8.331930163
M,10,13,7.935526184
M,10,13,17.31868301
M,10,13,7.352873595
M,10,13,7.979595036
M,10,13,7.19622734
M,10,13,9.44723718
M,10,13,10.31797854
M,10,13,12.82731776
F,11,13,4.443786106
F,11,13,5.520169851
F,11,13,12.2488976
F,11,13,3.935215116
F,11,13,6.27756002
F,11,13,3.116157902
F,11,13,3.054725075
F,11,13,9.590330052
F,11,13,3.651263743
M,11,13,4.638443844
M,11,13,3.0622244
M,11,13,8.450317415
M,11,13,9.582323432
M,11,13,6.173919307
M,11,13,4.485511797
M,11,13,7.30917824
M,11,13,11.14649682
M,11,13,6.1244488
M,11,13,14.34555575
M,11,13,7.102598176
M,11,13,3.98089172
F,1,12,2.774677675
F,2,12,2.615465091
F,2,12,2.568317239
F,2,12,4.244108035
M,2,12,3.728444928
M,2,12,4.506261103
F,3,12,2.835191083
F,3,12,2.14355708
F,3,12,3.578329636
F,3,12,6.548653046
F,3,12,4.89955904
F,3,12,3.184713376
F,3,12,2.148204638
F,3,12,2.245631227
F,3,12,3.54983975
F,3,12,1.492834395
F,3,12,8.204685307
M,3,12,6.43067124
M,3,12,2.381094113
M,3,12,18.93963963
M,3,12,1.933791803
M,3,12,2.948808681
F,4,12,8.530482257
F,4,12,2.456077154
F,4,12,1.213224143
F,4,12,4.13400294
F,4,12,5.51200392
F,4,12,4.385411563
F,4,12,6.43067124
F,4,12,4.28711416
F,4,12,8.165931733
F,4,12,5.276448197
F,4,12,2.98566879
F,4,12,2.113079965
F,4,12,1.136204143
F,4,12,5.428488709
F,4,12,16.47265539
F,4,12,7.91410809
F,4,12,3.970551741
F,4,12,1.45199698
F,4,12,11.2072025
F,4,12,6.873482106
F,4,12,2.903442394
F,4,12,4.44022538
F,4,12,7.04311612
F,4,12,3.67466928
M,4,12,2.343728458
M,4,12,2.008016
M,4,12,1.993560799
M,4,12,4.556988245
M,4,12,4.20197926
M,4,12,4.429364918
M,4,12,6.859382656
M,4,12,3.301171366
M,4,12,4.28711416
M,4,12,9.889682942
F,5,12,1.345653539
F,5,12,1.134281476
F,5,12,2.31896605
F,5,12,5.710983902
F,5,12,4.5933366
F,5,12,2.279884296
F,5,12,4.81316883
F,5,12,5.408256426
F,5,12,5.136634477
F,5,12,0.474739882
F,5,12,8.097882302
F,5,12,3.0622244
F,5,12,4.108247389
F,5,12,1.920097462
F,5,12,3.67466928
F,5,12,1.724989435
F,5,12,1.729256132
F,5,12,5.389514944
F,5,12,2.44977952
F,5,12,3.36844684
F,5,12,4.104012082
F,5,12,4.549590537
F,5,12,1.99044586
F,5,12,5.245410266
F,5,12,6.102444792
F,5,12,4.89955904
F,5,12,1.619345784
F,5,12,5.164400069
F,5,12,7.96178344
F,5,12,6.649401554
F,5,12,3.419826444
F,5,12,2.284586353
F,5,12,4.735633273
F,5,12,2.920081032
M,5,12,0.318471338
M,5,12,4.5933366
M,5,12,6.255686988
M,5,12,3.765920429
M,5,12,5.732484076
M,5,12,3.686010852
M,5,12,5.20578148
M,5,12,11.8895966
M,5,12,4.103380696
M,5,12,7.120294133
M,5,12,9.186673199
M,5,12,6.26500992
M,5,12,9.902995656
M,5,12,3.834681464
M,5,12,4.082965866
M,5,12,13.5258097
M,5,12,3.95125729
M,5,12,6.666871801
M,5,12,9.506607092
M,5,12,6.802547771
M,5,12,6.864892938
M,5,12,20.61474218
M,5,12,3.93746381
M,5,12,8.57422832
M,5,12,4.590577839
M,5,12,1.070491891
M,5,12,5.601254681
M,5,12,3.538570418
M,5,12,7.96178344
M,5,12,4.369527587
M,5,12,9.312027415
M,5,12,11.16317743
M,5,12,3.236497333
M,5,12,8.358071303
M,5,12,17.23346982
M,5,12,4.409603136
M,5,12,6.450052407
F,6,12,5.599636033
F,6,12,8.071322821
F,6,12,5.790387956
F,6,12,5.817587064
F,6,12,1.978082842
F,6,12,4.727821919
F,6,12,4.5933366
F,6,12,6.1244488
F,6,12,1.959823616
F,6,12,6.910770436
F,6,12,2.87054786
F,6,12,8.26800588
F,6,12,4.914681136
F,6,12,5.639596603
F,6,12,0.931202742
F,6,12,7.34933856
F,6,12,2.817246448
F,6,12,12.2488976
F,6,12,4.157126872
F,6,12,6.73689368
F,6,12,5.97133758
F,6,12,1.015857536
F,6,12,2.665032114
F,6,12,2.578715284
F,6,12,1.592356688
F,6,12,2.695102998
F,6,12,3.9156312
F,6,12,4.031282754
F,6,12,1.740280533
F,6,12,3.050429165
F,6,12,3.258776478
F,6,12,2.857669031
F,6,12,5.850511793
F,6,12,0.675706914
F,6,12,9.110185639
F,6,12,3.499685028
F,6,12,3.821656051
F,6,12,0.679823873
F,6,12,4.014668983
F,6,12,3.352329869
F,6,12,5.97133758
F,6,12,2.752221436
F,6,12,7.064059244
F,6,12,5.02460579
F,6,12,6.566419332
F,6,12,7.380745989
F,6,12,2.175515779
F,6,12,2.921755391
F,6,12,7.664455427
F,6,12,5.51200392
F,6,12,5.709645495
F,6,12,5.649158982
F,6,12,5.81822636
F,6,12,2.2966683
F,6,12,5.595396854
F,6,12,1.22488976
F,6,12,6.486177955
F,6,12,9.422228923
F,6,12,4.89955904
F,6,12,3.98089172
F,6,12,4.086708273
F,6,12,2.502274795
F,6,12,8.880450759
F,6,12,3.15466891
F,6,12,3.0622244
F,6,12,2.920081032
F,6,12,4.387105161
F,6,12,1.007023992
F,6,12,3.122268016
F,6,12,3.877042371
F,6,12,6.427861859
M,6,12,4.986590681
M,6,12,0.831952293
M,6,12,6.1244488
M,6,12,5.20578148
M,6,12,2.14355708
M,6,12,8.57422832
M,6,12,5.725327417
M,6,12,3.967666166
M,6,12,3.470217646
M,6,12,3.307565821
M,6,12,2.667001349
M,6,12,13.48026826
M,6,12,2.653927813
M,6,12,1.255059458
M,6,12,9.513706873
M,6,12,7.96178344
M,6,12,4.231437353
M,6,12,6.73689368
M,6,12,4.131520055
M,6,12,6.859382656
M,6,12,4.971259904
M,6,12,12.38499646
M,6,12,4.409603136
M,6,12,6.230960953
M,6,12,2.394521335
M,6,12,4.082965866
M,6,12,11.54896059
M,6,12,9.231053263
M,6,12,5.397819281
M,6,12,9.729266932
M,6,12,4.778475498
M,6,12,9.546681782
M,6,12,8.165931733
M,6,12,7.566168447
M,6,12,4.533399823
M,6,12,2.241966474
M,6,12,3.379006234
M,6,12,3.843502877
M,6,12,4.082965866
F,7,12,3.8277805
F,7,12,2.533294731
F,7,12,3.377726308
F,7,12,3.902835019
F,7,12,4.862157826
F,7,12,2.381094113
F,7,12,3.67466928
F,7,12,4.723091871
F,7,12,2.71865776
F,7,12,4.405367206
F,7,12,7.96178344
F,7,12,2.948808681
F,7,12,3.042114269
F,7,12,12.53589145
F,7,12,7.96178344
F,7,12,5.136634477
F,7,12,7.014787171
F,7,12,3.0622244
F,7,12,3.642874957
F,7,12,2.73222287
F,7,12,3.36844684
F,7,12,4.144963179
F,7,12,8.083028873
F,7,12,2.75600196
F,7,12,1.903506845
F,7,12,1.215650591
F,7,12,2.562413061
F,7,12,1.091901729
F,7,12,3.376021246
F,7,12,3.035095969
F,7,12,3.0622244
F,7,12,4.087332675
F,7,12,0.682438581
F,7,12,3.703155088
F,7,12,1.333911362
F,7,12,5.51200392
F,7,12,3.179036525
F,7,12,2.564181462
F,7,12,2.98566879
F,7,12,1.707621113
F,7,12,6.17129568
F,7,12,3.703155088
F,7,12,8.334301459
F,7,12,10.10077004
F,7,12,8.26800588
F,7,12,11.00888574
F,7,12,1.961030404
F,7,12,2.248032971
F,7,12,10.41156296
F,7,12,6.614815052
F,7,12,8.044052155
F,7,12,4.65849031
F,7,12,3.0622244
F,7,12,7.655561
F,7,12,0.689829612
F,7,12,4.703576678
F,7,12,7.655561
F,7,12,1.220864931
F,7,12,1.558950604
F,7,12,3.950269476
F,7,12,4.458598726
F,7,12,6.769127621
F,7,12,10.77096846
F,7,12,4.549590537
F,7,12,3.184713376
F,7,12,2.75600196
M,7,12,7.464171975
M,7,12,10.96849924
M,7,12,7.724886908
M,7,12,5.738222299
M,7,12,3.434494817
M,7,12,4.02562084
M,7,12,1.432964137
M,7,12,7.96178344
M,7,12,8.039437093
M,7,12,5.006536311
M,7,12,8.57422832
M,7,12,3.112097761
M,7,12,4.5933366
M,7,12,0.762537006
M,7,12,5.407513324
M,7,12,2.587579618
M,7,12,4.153973968
M,7,12,1.663430538
M,7,12,13.77173352
M,7,12,5.755506101
M,7,12,4.122606312
M,7,12,3.384392535
M,7,12,4.169079328
M,7,12,5.955155093
M,7,12,5.332372281
M,7,12,3.0622244
M,7,12,2.967573827
M,7,12,5.971080155
M,7,12,2.316155182
M,7,12,8.33694601
M,7,12,4.515036685
M,7,12,4.841040962
M,7,12,5.94706385
M,7,12,4.170457992
M,7,12,6.369426752
M,7,12,3.746721619
M,7,12,5.483007247
M,7,12,15.92356688
M,7,12,4.004129974
M,7,12,3.352329869
M,7,12,6.73689368
M,7,12,6.1244488
M,7,12,5.486155686
M,7,12,7.298301486
M,7,12,4.454144582
M,7,12,7.04311612
M,7,12,8.605666168
M,7,12,10.04497409
M,7,12,9.164642808
M,7,12,6.614404704
M,7,12,6.717754777
M,7,12,11.02286201
M,7,12,4.269052783
M,7,12,7.655561
M,7,12,6.971511867
M,7,12,5.367494454
M,7,12,1.786077389
M,7,12,8.639540496
M,7,12,3.608740369
M,7,12,5.634492896
M,7,12,7.893734008
F,8,12,5.51200392
F,8,12,3.8277805
F,8,12,4.5933366
F,8,12,1.981929756
F,8,12,6.613622026
F,8,12,3.985178834
F,8,12,3.14299224
F,8,12,3.36844684
F,8,12,4.5933366
F,8,12,0.10289074
F,8,12,7.96178344
F,8,12,6.573949629
F,8,12,3.931744908
F,8,12,2.44977952
F,8,12,9.609696183
F,8,12,5.203780026
F,8,12,2.799748023
F,8,12,4.5933366
F,8,12,5.247725439
F,8,12,5.66511514
F,8,12,3.386820186
F,8,12,4.014344591
F,8,12,5.373709915
F,8,12,4.757471828
F,8,12,3.98089172
F,8,12,5.751175397
F,8,12,2.370754374
F,8,12,3.36844684
F,8,12,6.1244488
F,8,12,4.5933366
F,8,12,4.683402023
F,8,12,2.671049928
F,8,12,5.397327452
F,8,12,3.778473497
F,8,12,2.573505758
F,8,12,5.132871375
F,8,12,11.15418936
F,8,12,6.532745386
F,8,12,5.854252529
F,8,12,2.701427542
F,8,12,4.173936272
F,8,12,2.626567733
F,8,12,4.396751094
F,8,12,4.078334442
F,8,12,4.158842178
F,8,12,4.506669871
F,8,12,3.98089172
F,8,12,6.73689368
F,8,12,2.658081065
